term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
of someone's life	clitic	109	12	12	1.00	yes		
watch one's tongue	clitic	108	0	12	0.00	no	A blind woman who sensed my presence and groped at her watch.	her … watch
live one	filled	103	10	12	0.83	yes	After living out her fair span of years, she will be yours.	living … span
rest one's case	filled	101	0	12	0.00	no	And I love the rest of your face, too.	rest … face
bear oneself	filled	98	0	12	0.00	no	A true king would bear the lushness of its plumage for all to see.	bear … lushness
prove oneself	filled	91	1	12	0.08	no	A comparison proves nothing.	proves … nothing
contain oneself	filled	89	1	12	0.08	no	A good question contains half the answer.	contains … half
what has someone done	filled	88	11	12	0.92	yes	We know what we have to do.	what … we … have … do
in one's life	clitic	84	6	12	0.50	no	After fighting, everything else in your life got the volume turned down.	in … your … life
feel like oneself	filled	83	0	12	0.00	no	Ayrton, do you feel like a World Champion now?	feel … like … Champion
out of someone's hands	filled	80	0	12	0.00	no	All this is so out of the blue Mohan.	out … of … blue
letters after one's name	clitic	79	0	12	0.00	no	Did you acknowledge his letter?	his … letter
on one's own	clitic	77	11	12	0.92	yes	A stone is heavy on its own turf.	on … its … own
suit oneself	filled	77	3	12	0.25	no	Acting suited you.	suited … you
promised one	filled	73	10	12	0.83	yes	Is there a place that promises peace to disillusioned souls?	promises … peace
repeat oneself	filled	72	9	12	0.75	yes	A man over there repeated blinks at me.	repeated … blinks
tell us another one	filled	72	0	12	0.00	no	And we thought that you could just tell us a story.	tell … us … story
do one's homework	clitic	71	12	12	1.00	yes		
on one's way	clitic	67	12	12	1.00	yes		
put oneself out	filled	65	0	12	0.00	no	All them Chinks putting Americans out of work.	putting … Americans … out
fall into oneself	filled	63	0	12	0.00	no	A fly fell into my cup of coffee.	fell … into … cup
you know something	clitic	62	12	12	1.00	yes		
sorry for oneself	filled	61	8	12	0.67	yes	And I am sorry for your loss.	sorry … for … loss
teach someone who's the boss	clitic	61	0	12	0.00	no	Anand Sir taught us to see.	taught … us
wipe oneself	filled	61	4	12	0.33	no	At this time, we should wipe out crime and collusion.	wipe … crime
bless oneself	filled	60	0	12	0.00	no	And God bless you.	bless … you
brush one's teeth	clitic	60	12	12	1.00	yes		
in someone's eyes	clitic	59	0	12	0.00	no	A blood vessel broke in my eye.	in … my … eye
wash one's hands	clitic	56	12	12	1.00	yes		
full of one's self	filled	54	0	12	0.00	no	A bathtub full of hot water.	full … of … water
full of oneself	filled	54	0	12	0.00	no	A bathtub full of hot water.	full … of … water
use one's coconut	filled	54	0	12	0.00	no	A traffic accident deprived him of the use of his left hand.	use … hand
express oneself	filled	53	9	12	0.75	yes	A frown may express anger or displeasure.	express … anger
gather oneself	filled	53	1	12	0.08	no	A rolling stone gathers no moss.	gathers … moss
master of one's time	clitic	49	0	12	0.00	no	Another half hour, and our master will be back here.	our … master
run into one	filled	49	5	12	0.42	no	A guy nearly ran into us.	ran … into … us
take one up	filled	48	2	12	0.17	no	He took up gardening after he retired.	took … up … gardening
walk one's shots	filled	48	0	12	0.00	no	A mouse went for a walk on the table.	walk … table
work one's passage	filled	46	0	12	0.00	no	A lot less work for you.	lot … work
hug oneself	filled	45	0	12	0.00	no	Anthony hugs Mary.	hugs … Mary
on one's back	clitic	44	5	12	0.42	no	All because of the pat on my back and a kick on my butt from you sir.	on … my … back
on someone's back	clitic	44	0	12	0.00	no	All because of the pat on my back and a kick on my butt from you sir.	on … my … back
in one's pocket	clitic	43	0	12	0.00	no	And why do I have it here in my pocket?	in … my … pocket
in someone's pocket	clitic	43	0	12	0.00	no	And why do I have it here in my pocket?	in … my … pocket
give someone a hand	filled	41	12	12	1.00	yes		
on one's side	filled	41	2	12	0.17	no	Always look on the bright side of life.	on … side … life
on someone's side	filled	41	2	12	0.17	no	Always look on the bright side of life.	on … side … life
what was someone thinking	filled	41	7	12	0.58	no	And what are you thinking about now?	what … are … you … thinking
drive someone crazy	filled	40	12	12	1.00	yes		
raise one's hand	clitic	40	12	12	1.00	yes		
close one's eyes	clitic	39	12	12	1.00	yes		
how dare someone	filled	39	12	12	1.00	yes		
keep to oneself	filled	39	10	12	0.83	yes	Keep it to a dull roar, Rex.	Keep … to … roar
save someone's life	clitic	39	12	12	1.00	yes		
get over oneself	filled	38	0	12	0.00	no	But she soon got over that and has thrown herself into a new hobby.	got … over … that
give someone time	filled	38	12	12	1.00	yes		
pick on someone your own size	clitic	37	0	12	0.00	no	Are you coming to pick me up?	pick … me
piss oneself	filled	37	0	12	0.00	no	And your son hates you so much he married one to piss you off.	piss … you
sure of oneself	filled	37	0	12	0.00	no	Are we sure of it?	sure … of … it
in one's opinion	clitic	36	9	12	0.75	yes	Are you really interested in my honest opinion?	in … my … opinion
let someone go	clitic	36	9	12	0.75	yes	He refuses to let it go.	let … it … go
on one's feet	clitic	36	8	12	0.67	yes	He accidentally stepped on my foot.	on … my … foot
get someone there	filled	35	5	12	0.42	no	And I got a piece of the action there.	got … piece … there
on one's knees	clitic	35	10	12	0.83	yes	He saw a small Band-Aid on her left knee.	on … her … knee
make up one's mind	clitic	34	12	12	1.00	yes		
king of all one surveys	filled	32	0	12	0.00	no	All Beijing knows that you Master Yuan is the true king of the theater.	king … of … theater
see for oneself	filled	32	7	12	0.58	no	And so I saw the Black Sea for the first time.	saw … for … time
pleased with oneself	filled	31	1	12	0.08	no	And Mother will be pleased with your additional catch.	pleased … with … catch
where someone lives	filled	31	11	12	0.92	yes	He retired to his hometown, where he lived a quiet life.	where … he … lived
hold one's nose	filled	30	0	12	0.00	no	Get a hold of him!	hold … him
hold one's peace	filled	30	0	12	0.00	no	Get a hold of him!	hold … him
hold one's piece	filled	30	0	12	0.00	no	Get a hold of him!	hold … him
on someone's hands	clitic	30	1	12	0.08	no	As to your enquiry on my hand.	on … my … hand
change one's mind	clitic	29	12	12	1.00	yes		
change someone's mind	clitic	29	1	12	0.08	no	At home, he makes toast but changes his mind.	changes … his … mind
in someone's time	filled	29	1	12	0.08	no	Anyone who increases his wealth in time of war is a war profiteer.	in … time … war
show oneself	clitic	29	0	12	0.00	no	Ah, let me show you.	show … you
one's hour	filled	28	1	12	0.08	no	After long hours of training, the day had finally come.	hours … training
pain in one's ass	filled	28	4	12	0.33	no	He felt a sharp pain in his chest.	pain … in … chest
have someone there	filled	27	9	12	0.75	yes	Agnelli has coffee there every morning and he confided in him.	has … coffee … there
in someone's face	clitic	27	1	12	0.08	no	But some of its blood got sprayed in my face.	in … my … face
on one's way	filled	26	12	12	1.00	yes		
open someone's eyes	clitic	26	3	12	0.25	no	Can I open my eyes now?	open … my … eyes
behind someone's back	clitic	25	8	12	0.67	yes	Hands behind your back.	behind … your … back
hold someone's hand	clitic	25	8	12	0.67	yes	He held his hand out to me.	held … his … hand
on one's side	clitic	25	7	12	0.58	no	I sleep on my side.	on … my … side
on someone's side	clitic	25	8	12	0.67	yes	I sleep on my side.	on … my … side
crack one	filled	24	0	12	0.00	no	Crack open the bonnet.	Crack … bonnet
get on someone's nerves	clitic	24	12	12	1.00	yes		
hold one's breath	clitic	24	5	12	0.42	no	And the men are literally holding their breath.	holding … their … breath
speak for oneself	filled	24	6	12	0.50	no	But can we let him get away with speaking up for the Japanese?	speaking … for … Japanese
take one's time	clitic	24	11	12	0.92	yes	I fear this work will take up most of my time.	take … my … time
up to something	filled	24	3	12	0.25	no	Are you up to the task?	up … to … task
apply oneself	filled	23	0	12	0.00	no	A committee should apply the focus to the more concrete problem.	apply … focus
give someone a lift	filled	23	11	12	0.92	yes	Give us a lift up, pal?	Give … us … a … lift
look out for someone	filled	23	4	12	0.33	no	Drivers must look out for children crossing the road.	look … out … for … children
pain in one's ass	clitic	23	0	12	0.00	no	All my pains were in vain.	my … pains
think for oneself	filled	23	8	12	0.67	yes	For some reason, I thought of my first fight with Tyler.	For … reason … thought
victim of one's own success	filled	23	0	12	0.00	no	He was a victim of the burden of the studies.	victim … of … burden
in someone's time	clitic	22	2	12	0.17	no	A cyborg who goes diving in her spare time.	in … her … time
lose one's mind	clitic	22	12	12	1.00	yes		
on one's head	clitic	22	2	12	0.17	no	All the driver are sitting on my head.	on … my … head
sort oneself out	filled	22	1	12	0.08	no	Captain, we can sort this thing out so everyone is happy.	sort … thing … out
weight off someone's mind	clitic	22	0	12	0.00	no	A great little fighter for her weight.	her … weight
in one's head	clitic	21	10	12	0.83	yes	I swear I will pull out my gun and put a bullet in your fucking heads!	in … your … heads
keep one's mouth shut	clitic	21	12	12	1.00	yes		
of one's own	filled	21	12	12	1.00	yes		
shut one's mouth	clitic	21	12	12	1.00	yes		
burn one down	filled	20	12	12	1.00	yes		
do what one does	filled	20	8	12	0.67	yes	Gotta do what you gotta do.	do … what … you … do
drink something like lemonade	clitic	20	12	12	1.00	yes		
give someone a break	filled	20	12	12	1.00	yes		
keep one's word	clitic	20	12	12	1.00	yes		
make oneself clear	filled	20	4	12	0.33	no	An illustration may make the point clear.	make … point … clear
risk one's neck	filled	20	3	12	0.25	no	A government statement warned of the risk of war in the country.	risk … war
take one's place	clitic	20	12	12	1.00	yes		
take someone's place	clitic	20	10	12	0.83	yes	Father took his place at the head of the table.	took … his … place
trust someone to	filled	20	0	12	0.00	no	Before God, his grace is bold to trust these traitors.	to … trust … traitors
with one's eyes closed	clitic	20	2	12	0.17	no	Can you walk with your eyes closed?	with … your … eyes … closed
flat on one's back	clitic	19	0	12	0.00	no	Daddy was in his office, under our flat.	our … flat
go fuck oneself	filled	19	12	12	1.00	yes		
have a word with oneself	filled	19	0	12	0.00	no	Can I have a word with John regarding this?	have … a … word … with … John
make oneself at home	filled	19	11	12	0.92	yes	At home, he makes toast but changes his mind.	At … home … makes … toast
master of one's time	filled	19	5	12	0.42	no	A jack of all trades is master of none.	master … of … none
run into one	clitic	19	0	12	0.00	no	A car coming along the street ran him down.	ran … him
step on someone's toes	clitic	19	0	12	0.00	no	And watch your step every single minute.	your … step
get oneself together	filled	18	6	12	0.50	no	Get everyone together!	Get … everyone … together
lose one's way	clitic	18	11	12	0.92	yes	People prefer losing their ways to changing their ways.	losing … their … ways
call outta one's name	clitic	17	0	12	0.00	no	And that will count as your call.	your … call
give someone one	filled	17	0	12	0.00	no	Come on, give me one!	give … me … one
happy to see someone	clitic	17	12	12	1.00	yes		
happy to see someone	filled	17	12	12	1.00	yes		
in someone's face	filled	17	0	12	0.00	no	Even in the face of peril.	in … face … peril
for all of someone	filled	16	12	12	1.00	yes		
lay one down	filled	16	4	12	0.33	no	He laid down his pen and leaned back in his chair.	laid … down … pen
of one's own	clitic	16	11	12	0.92	yes	She did the dishes of her own accord.	of … her … own
one's last	filled	16	2	12	0.17	no	And the last of our money is missing too.	last … money
price on someone's head	clitic	16	0	12	0.00	no	Each mathematical formula in a book divides its selling price by two.	its … price
watch one's mouth	clitic	16	12	12	1.00	yes		
drive someone crazy	clitic	15	12	12	1.00	yes		
to one's face	clitic	15	7	12	0.58	no	Mary applied cream to her face.	to … her … face
to someone's face	clitic	15	7	12	0.58	no	Mary applied cream to her face.	to … her … face
at one's feet	filled	14	0	12	0.00	no	At the foot of the hill is a beautiful lake.	At … foot … hill
do one's duty	clitic	14	12	12	1.00	yes		
drive someone mad	filled	14	12	12	1.00	yes		
eat someone for breakfast	filled	14	2	12	0.17	no	Every morning, I eat honey for breakfast.	eat … honey … for … breakfast
give something a try	filled	14	12	12	1.00	yes		
in someone's way	clitic	14	8	12	0.67	yes	Do your work in your own way.	in … your … way
knock one out	filled	14	6	12	0.50	no	Come one step closer and I will knock his teeth out!	knock … teeth … out
knock oneself out	filled	14	2	12	0.17	no	But one day I snapped and just knocked him out cold.	knocked … him … out
look at oneself in the mirror	filled	14	12	12	1.00	yes		
make one's bed	clitic	14	10	12	0.83	yes	As you make your bed, so you must lie in it.	make … your … bed
put one's hand up	clitic	14	8	12	0.67	yes	He put up his hand to catch the ball.	put … up … his … hand
put one's hands up	clitic	14	3	12	0.25	no	He put up his hand to ask a question.	put … up … his … hand
put up one's hand	clitic	14	7	12	0.58	no	He put up his hand to catch the ball.	put … up … his … hand
put up one's hands	clitic	14	3	12	0.25	no	He put up his hand to ask a question.	put … up … his … hand
take one's seat	clitic	14	9	12	0.75	yes	Everyone takes your seats.	takes … your … seats
taste of one's own medicine	filled	14	0	12	0.00	no	Come on, give us a taste of your herbal vodka, Tushin.	taste … of … vodka
taste of one's own poison	filled	14	0	12	0.00	no	Come on, give us a taste of your herbal vodka, Tushin.	taste … of … vodka
wag one	filled	14	9	12	0.75	yes	Like to wag your tongue, eh?	wag … tongue
drive someone nuts	filled	13	12	12	1.00	yes		
give one's word	clitic	13	12	12	1.00	yes		
hurt someone's feelings	clitic	13	12	12	1.00	yes		
lose one's temper	clitic	13	12	12	1.00	yes		
show one's face	clitic	13	0	12	0.00	no	But I think it fits better on your show.	your … show
take one's place	filled	13	2	12	0.17	no	Bricks never take the place of ferro-concrete here.	take … place … concrete
take someone's place	filled	13	9	12	0.75	yes	Father took his place at the head of the table and began to say grace.	took … place … head
with all one's heart	clitic	13	12	12	1.00	yes		
at one's feet	clitic	12	5	12	0.42	no	Everyone looked at my feet.	at … my … feet
be onto something	clitic	12	0	12	0.00	no	All right, Milo, this is it.	is … it
fruit of one's loins	clitic	12	0	12	0.00	no	A tree is known by its fruit.	its … fruit
have one's moments	filled	12	0	12	0.00	no	Each of them has a bicycle.	them … has
keep someone company	filled	12	12	12	1.00	yes		
lose one's life	clitic	12	12	12	1.00	yes		
on one's mind	clitic	12	12	12	1.00	yes		
on someone's mind	clitic	12	12	12	1.00	yes		
pull oneself	clitic	12	12	12	1.00	yes		
set of one's jaw	filled	12	0	12	0.00	no	A TV set of this size will take little space.	set … of … size
show one's face	filled	12	0	12	0.00	no	And let us do it with no show of fear!	show … fear
slip into something more comfortable	filled	12	4	12	0.33	no	He must have slipped something into my glass.	slipped … into … glass
take one's medicine	clitic	12	0	12	0.00	no	Did you take your medicine?	take … your … medicine
taste of one's own medicine	clitic	12	0	12	0.00	no	Each has his own taste.	his … taste
teach someone a lesson	filled	12	12	12	1.00	yes		
God help someone	filled	11	11	11	1.00	yes		
bird of one's own brain	filled	11	0	11	0.00	no	A falcon is a bird of prey.	bird … of … prey
blow one's chance	filled	11	0	11	0.00	no	Guaracy was cashing in from my blows on trafficking.	blows … trafficking
blow one's lid	filled	11	0	11	0.00	no	Guaracy was cashing in from my blows on trafficking.	blows … trafficking
do somebody wrong	filled	11	1	11	0.09	no	Maybe you did that wrong.	did … that … wrong
have one's way	filled	11	3	11	0.27	no	And I have I way.	have … I … way
keep one's eyes open	clitic	11	10	11	0.91	yes	I need to keep my eyes open.	keep … my … eyes … open
keep one's head	clitic	11	1	11	0.09	no	From now on, keep your heads down.	keep … your … heads
know what one is doing	filled	11	3	11	0.27	no	But do you know what Baines is doing?	know … what … Baines … is … doing
let one off	filled	11	3	11	0.27	no	If you want to let off steam, do it with me.	let … off … steam
make one's way	clitic	11	11	11	1.00	yes		
make one's way	filled	11	7	11	0.64	yes	Get back, make way for the gentleman!	make … way … gentleman
mind one's business	clitic	11	11	11	1.00	yes		
pack one's bags	clitic	11	10	11	0.91	yes	Who packed your bag?	packed … your … bag
play one's part	filled	11	7	11	0.64	yes	He played a minor part in the play.	played … part … play
raise one's voice	clitic	11	11	11	1.00	yes		
satisfy oneself	filled	11	0	11	0.00	no	Always satisfy the needs of your customer.	satisfy … needs
to one's way of thinking	clitic	11	0	11	0.00	no	Frankly speaking, your way of thinking is out of date.	your … way … of … thinking
wet oneself	filled	11	9	11	0.82	yes	Can I get you something to wet your whistle?	wet … whistle
at someone's door	clitic	10	10	10	1.00	yes		
bet one's ass	clitic	10	0	10	0.00	no	And did Gina win her bet?	her … bet
find one's way	clitic	10	10	10	1.00	yes		
give something a shot	filled	10	6	10	0.60	yes	Give me a shot.	Give … me … a … shot
go one's way	clitic	10	4	10	0.40	no	Go away, out of my way!	Go … my … way
go one's ways	clitic	10	4	10	0.40	no	Go away, out of my way!	Go … my … way
in one's backyard	clitic	10	10	10	1.00	yes		
in one's corner	filled	10	0	10	0.00	no	And today I want to fuck you in every corner of this room.	in … corner … room
in someone's corner	filled	10	0	10	0.00	no	And today I want to fuck you in every corner of this room.	in … corner … room
lie at one's door	clitic	10	0	10	0.00	no	Her lie reflected my lie, and suddenly, I felt nothing.	Her … lie
of someone's dreams	clitic	10	9	10	0.90	yes	We carry the weight of our dreams.	of … our … dreams
on someone's account	filled	10	10	10	1.00	yes		
one's self	clitic	10	2	10	0.20	no	Atreyu must face his true self.	his … self
over one's head	clitic	10	2	10	0.20	no	Hands over your head.	over … your … head
repeat oneself	clitic	10	10	10	1.00	yes		
use one's head	clitic	10	10	10	1.00	yes		
watch one's step	clitic	10	9	10	0.90	yes	White devil will be watching your every step.	watching … your … step
with one's own eyes	clitic	10	10	10	1.00	yes		
beg someone's pardon	clitic	9	9	9	1.00	yes		
catch someone's eye	clitic	9	8	9	0.89	yes	I caught her eyes in the mirror.	caught … her … eyes
from the bottom of one's heart	clitic	9	9	9	1.00	yes		
get past oneself	filled	9	3	9	0.33	no	How can we get past this crisis?	get … past … crisis
get someone's number	clitic	9	9	9	1.00	yes		
give someone the creeps	filled	9	9	9	1.00	yes		
hand it to someone	filled	9	3	9	0.33	no	Hand it to him.	Hand … it … to … him
have someone's number	filled	9	0	9	0.00	no	Do you have additional contact numbers for him?	have … numbers … him
in something's favor	clitic	9	6	9	0.67	yes	He is in my favor.	my … favor
in spite of oneself	filled	9	0	9	0.00	no	He came in spite of bad weather.	in … spite … of … weather
keep someone busy	filled	9	9	9	1.00	yes		
let someone have it	filled	9	5	9	0.56	no	Kropp, let me have it.	let … me … have … it
pick on someone your own size	filled	9	5	9	0.56	no	A man is picking out a tune on the guitar.	picking … on … guitar
promised one	clitic	9	5	9	0.56	no	No, I promised it all.	promised … it
risk one's life	clitic	9	9	9	1.00	yes		
true to oneself	filled	9	3	9	0.33	no	Dan was true to his word.	true … to … word
turn one's back	clitic	9	6	9	0.67	yes	I turn my back for a second, Ham, and you sprout like a beanstalk.	turn … my … back
vote with one's feet	clitic	9	0	9	0.00	no	Because if there is, you know you have my vote.	my … vote
vote with one's wallet	clitic	9	0	9	0.00	no	Because if there is, you know you have my vote.	my … vote
comb one's hair	clitic	8	8	8	1.00	yes		
do one's thing	filled	8	0	8	0.00	no	Anu must be so happy, we did such a good thing for them.	did … thing … them
do someone like that	clitic	8	2	8	0.25	no	She loves Tom more than she does me.	does … me
drive someone nuts	clitic	8	8	8	1.00	yes		
ease oneself	filled	8	0	8	0.00	no	Ease his pain.	Ease … pain
feel someone's pain	filled	8	0	8	0.00	no	He felt a pain in his back.	felt … pain … back
have one's way	clitic	8	7	8	0.88	yes	Each person has his own way of doing things.	has … his … way
have someone's blood	filled	8	6	8	0.75	yes	But Definite also had the dual blood of Durga and Sardar Khan.	had … blood … Durga
in someone's way	filled	8	2	8	0.25	no	And walk in the ways of thine heart, and in the sight of thine eyes.	in … ways … heart
kick someone's ass	clitic	8	8	8	1.00	yes		
let one off	clitic	8	4	8	0.50	no	Let off me!	Let … off … me
mind one's own business	clitic	8	8	8	1.00	yes		
none of someone's business	clitic	8	8	8	1.00	yes		
of one's word	clitic	8	4	8	0.50	no	He soon comprehended the significance of her words.	of … her … words
on one's ones	filled	8	0	8	0.00	no	And on each one of their phones, the exact same images.	on … one … phones
one's last	clitic	8	4	8	0.50	no	Cobbler, stick to your last.	your … last
roll up one's sleeves	clitic	8	3	8	0.38	no	He rolled up his shirt sleeves.	rolled … up … his … sleeves
roof over one's head	clitic	8	3	8	0.38	no	He had his roof damaged.	his … roof
run one's face	filled	8	0	8	0.00	no	He had many run-ins with cops, but always escaped.	run … cops
run one's mouth	filled	8	0	8	0.00	no	He had many run-ins with cops, but always escaped.	run … cops
sell one's soul	clitic	8	8	8	1.00	yes		
serve someone right	filled	8	7	8	0.88	yes	You loved the book, if memory serves me right.	serves … me … right
spell one's name	clitic	8	8	8	1.00	yes		
spell someone's name	clitic	8	8	8	1.00	yes		
take one's life	clitic	8	5	8	0.62	yes	Each time I go upstairs, I take my life in my hands.	take … my … life
take someone's life	clitic	8	6	8	0.75	yes	Each time I go upstairs, I take my life in my hands.	take … my … life
turn someone's head	clitic	8	0	8	0.00	no	The point is not just to turn your head.	turn … your … head
under one's arm	clitic	8	8	8	1.00	yes		
up someone's ass	clitic	8	7	8	0.88	yes	No, that you had your head up your ass.	up … your … ass
walk one's shots	clitic	8	0	8	0.00	no	Enjoy your walk?	your … walk
worth one's salt	filled	8	0	8	0.00	no	Cars are worth its weight in gold, the gasoline is strictly rationed.	worth … weight
worth one's while	filled	8	3	8	0.38	no	Cars are worth its weight in gold, the gasoline is strictly rationed.	worth … weight
blow one's nose	clitic	7	7	7	1.00	yes		
do one's job	filled	7	6	7	0.86	yes	He did a real snow job on my daughter.	did … job … daughter
expose oneself	filled	7	0	7	0.00	no	Expose them.	Expose … them
find one's way	filled	7	3	7	0.43	no	Life, finding a way through the contamination.	finding … way … contamination
get out of someone's face	clitic	7	4	7	0.57	no	Get that camera out of my face, you haole piece of shit!	Get … out … of … my … face
hit one hard	filled	7	1	7	0.14	no	Hit him harder.	Hit … him … harder
in one's life	filled	7	3	7	0.43	no	Do you believe in life after death?	in … life … death
in someone's blood	clitic	7	2	7	0.29	no	A diabetic has too much sugar in his blood and in his urine.	in … his … blood
in someone's shoes	clitic	7	6	7	0.86	yes	There is a rock in my shoe.	in … my … shoe
